127.0.0.1 - - [13/Mar/2024:17:08:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:18 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:21 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1271
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:23 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:41 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:41 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3595
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:45 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:50 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:08:53 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:11:22 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:11:26 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:11:32 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:11:35 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:13:02 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:13:10 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 5297
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:13:17 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 5896
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:13:26 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:13:32 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:15:46 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:16:45 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:16:49 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:19:13 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:19:17 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:25:32 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:25:37 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:26:46 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:31:35 +0530] "GET /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [13/Mar/2024:17:31:43 +0530] "POST /ORS_Project4/ctl/HotelListCtl HTTP/1.1" 200 5300
